Entity,Code,Day,people_vaccinated,145608-annotations
Argentina,ARG,2022-04-12,41055921,
Argentina,ARG,2022-04-13,41059857,
Argentina,ARG,2022-04-14,41060792,
Argentina,ARG,2022-04-15,41061308,
Argentina,ARG,2022-04-16,41062044,
Argentina,ARG,2022-04-17,41062278,
Argentina,ARG,2022-04-18,41065782,
Argentina,ARG,2022-04-19,41069246,
Argentina,ARG,2022-04-20,41072670,
Argentina,ARG,2022-04-21,41075935,
Argentina,ARG,2022-04-22,41079081,
Argentina,ARG,2022-04-23,41080283,
Argentina,ARG,2022-04-24,41080735,
Argentina,ARG,2022-04-25,41083773,
Argentina,ARG,2022-04-26,41086685,
Argentina,ARG,2022-04-27,41089475,
Argentina,ARG,2022-04-28,41092639,
Argentina,ARG,2022-04-29,41095607,
Argentina,ARG,2022-04-30,41096528,
Argentina,ARG,2022-05-01,41096576,
Argentina,ARG,2022-05-02,41098953,
Argentina,ARG,2022-05-03,41101394,
Argentina,ARG,2022-05-04,41104260,
Argentina,ARG,2022-05-05,41108425,
Argentina,ARG,2022-05-06,41111487,
Argentina,ARG,2022-05-07,41112602,
Argentina,ARG,2022-05-08,41113028,
Argentina,ARG,2022-05-09,41115550,
Argentina,ARG,2022-05-10,41118266,
Argentina,ARG,2022-05-11,41121085,
Argentina,ARG,2022-05-12,41123790,
Argentina,ARG,2022-05-13,41126824,
Argentina,ARG,2022-05-14,41128114,
Argentina,ARG,2022-05-15,41128598,
Argentina,ARG,2022-05-16,41131079,
Argentina,ARG,2022-05-17,41134019,
Argentina,ARG,2022-05-18,41134062,
Argentina,ARG,2022-05-19,41136878,
Argentina,ARG,2022-05-20,41139968,
Argentina,ARG,2022-05-21,41141470,
Argentina,ARG,2022-05-22,41142052,
Argentina,ARG,2022-05-23,41145152,
Argentina,ARG,2022-05-24,41148213,
Argentina,ARG,2022-05-25,41148653,
Argentina,ARG,2022-05-26,41151318,
Argentina,ARG,2022-05-27,41154246,
Argentina,ARG,2022-05-28,41155690,
Argentina,ARG,2022-05-29,41156281,
Argentina,ARG,2022-05-30,41158970,
Argentina,ARG,2022-05-31,41161593,
Argentina,ARG,2022-06-01,41163546,
Argentina,ARG,2022-06-02,41165619,
Argentina,ARG,2022-06-03,41167900,
Argentina,ARG,2022-06-04,41168406,
Argentina,ARG,2022-06-05,41168552,
Argentina,ARG,2022-06-06,41170591,
Argentina,ARG,2022-06-07,41172633,
Argentina,ARG,2022-06-08,41174653,
Argentina,ARG,2022-06-09,41176792,
Argentina,ARG,2022-06-10,41178965,
Argentina,ARG,2022-06-11,41179322,
Argentina,ARG,2022-06-12,41179397,
Argentina,ARG,2022-06-13,41181465,
Argentina,ARG,2022-06-14,41183464,
Argentina,ARG,2022-06-15,41185513,
Argentina,ARG,2022-06-16,41187502,
Argentina,ARG,2022-06-17,41187743,
Argentina,ARG,2022-06-18,41187957,
Argentina,ARG,2022-06-19,41187975,
Argentina,ARG,2022-06-20,41188062,
Argentina,ARG,2022-06-21,41189735,
Argentina,ARG,2022-06-22,41191300,
Argentina,ARG,2022-06-23,41192889,
Argentina,ARG,2022-06-24,41194644,
Argentina,ARG,2022-06-25,41194986,
Argentina,ARG,2022-06-26,41195090,
Argentina,ARG,2022-06-27,41195999,
Argentina,ARG,2022-06-28,41197738,
Argentina,ARG,2022-06-29,41199322,
Argentina,ARG,2022-06-30,41200927,
Argentina,ARG,2022-07-01,41202657,
Argentina,ARG,2022-07-02,41202911,
Argentina,ARG,2022-07-03,41202993,
Argentina,ARG,2022-07-04,41204557,
Argentina,ARG,2022-07-05,41206030,
Argentina,ARG,2022-07-06,41207540,
Argentina,ARG,2022-07-07,41208877,
Argentina,ARG,2022-07-08,41210204,
Argentina,ARG,2022-07-09,41210459,
Argentina,ARG,2022-07-10,41210594,
Argentina,ARG,2022-07-11,41211847,
Argentina,ARG,2022-07-12,41213100,
Argentina,ARG,2022-07-13,41214362,
Argentina,ARG,2022-07-14,41215595,
Argentina,ARG,2022-07-15,41216676,
Argentina,ARG,2022-07-16,41216860,
Argentina,ARG,2022-07-17,41216954,
Argentina,ARG,2022-07-18,41218154,
Argentina,ARG,2022-07-19,41219466,
Argentina,ARG,2022-07-20,41220681,
Argentina,ARG,2022-07-21,41221920,
Argentina,ARG,2022-07-22,41223362,
Argentina,ARG,2022-07-23,41223569,
Argentina,ARG,2022-07-24,41223638,
Argentina,ARG,2022-07-25,41224644,
Argentina,ARG,2022-07-26,41225981,
Argentina,ARG,2022-07-27,41227285,
Argentina,ARG,2022-07-28,41228651,
Argentina,ARG,2022-07-29,41230209,
Argentina,ARG,2022-07-30,41230481,
Argentina,ARG,2022-07-31,41230620,
Argentina,ARG,2022-08-01,41231778,
Argentina,ARG,2022-08-02,41232877,
Argentina,ARG,2022-08-03,41234518,
Argentina,ARG,2022-08-04,41236494,
Argentina,ARG,2022-08-05,41239278,
Argentina,ARG,2022-08-06,41239691,
Argentina,ARG,2022-08-07,41239846,
Argentina,ARG,2022-08-08,41242151,
