Fecha,Casos (nuevos),Muertes (nuevos),Vacunados (nuevos-full),Cantidad de habitantes
2021-06-09,29757.0,605.0,372389.0,45510324.0
2021-06-10,27628.0,669.0,335088.0,45510324.0
2021-06-11,26934.0,687.0,366830.0,45510324.0
2021-06-12,18057.0,447.0,185123.0,45510324.0
2021-06-13,13043.0,268.0,82678.0,45510324.0
2021-06-14,21292.0,686.0,237991.0,45510324.0
2021-06-15,27260.0,586.0,257873.0,45510324.0
2021-06-16,25878.0,646.0,287157.0,45510324.0
2021-06-17,23780.0,528.0,314414.0,45510324.0
2021-06-18,20363.0,458.0,399349.0,45510324.0
2021-06-19,15631.0,495.0,232611.0,45510324.0
2021-06-20,10395.0,301.0,99217.0,45510324.0
2021-06-21,8606.0,447.0,169717.0,45510324.0
2021-06-22,21387.0,791.0,287909.0,45510324.0
2021-06-23,27319.0,705.0,263171.0,45510324.0
2021-06-24,24463.0,452.0,304549.0,45510324.0
2021-06-25,24023.0,541.0,376812.0,45510324.0
2021-06-26,18555.0,338.0,316309.0,45510324.0
2021-06-27,12105.0,251.0,176246.0,45510324.0
2021-06-28,18389.0,574.0,373106.0,45510324.0
2021-06-29,24065.0,526.0,374487.0,45510324.0
2021-06-30,22673.0,636.0,375801.0,45510324.0
2021-07-01,21177.0,468.0,432268.0,45510324.0
2021-07-02,20888.0,610.0,415679.0,45510324.0
2021-07-03,14034.0,212.0,336675.0,45510324.0
2021-07-04,9000.0,310.0,196536.0,45510324.0
2021-07-05,17277.0,617.0,409951.0,45510324.0
2021-07-06,21590.0,462.0,416943.0,45510324.0
2021-07-07,19423.0,456.0,404252.0,45510324.0
2021-07-08,19256.0,465.0,410587.0,45510324.0
2021-07-09,14518.0,244.0,357654.0,45510324.0
2021-07-10,11561.0,353.0,331985.0,45510324.0
2021-07-11,8850.0,280.0,165548.0,45510324.0
2021-07-12,14989.0,474.0,387269.0,45510324.0
2021-07-13,20023.0,385.0,393666.0,45510324.0
2021-07-14,19697.0,610.0,398424.0,45510324.0
2021-07-15,17295.0,445.0,400047.0,45510324.0
2021-07-16,17261.0,463.0,456432.0,45510324.0
2021-07-17,12230.0,276.0,322639.0,45510324.0
2021-07-18,6935.0,115.0,168246.0,45510324.0
2021-07-19,12764.0,406.0,418805.0,45510324.0
2021-07-20,15077.0,426.0,448721.0,45510324.0
2021-07-21,14632.0,437.0,420067.0,45510324.0
2021-07-22,13500.0,256.0,388262.0,45510324.0
2021-07-23,15622.0,285.0,408775.0,45510324.0
2021-07-24,11136.0,225.0,237672.0,45510324.0
2021-07-25,7506.0,137.0,133903.0,45510324.0
2021-07-26,12555.0,384.0,407753.0,45510324.0
2021-07-27,16757.0,247.0,428332.0,45510324.0
2021-07-28,15883.0,470.0,460161.0,45510324.0
2021-07-29,14115.0,291.0,425124.0,45510324.0
2021-07-30,13483.0,473.0,427177.0,45510324.0
2021-07-31,10356.0,135.0,274836.0,45510324.0
2021-08-01,6083.0,51.0,167428.0,45510324.0
2021-08-02,11183.0,273.0,417309.0,45510324.0
2021-08-03,14850.0,402.0,408234.0,45510324.0
2021-08-04,13736.0,300.0,417595.0,45510324.0
2021-08-05,13786.0,276.0,430568.0,45510324.0
2021-08-06,13549.0,190.0,414139.0,45510324.0
2021-08-07,9803.0,89.0,278243.0,45510324.0
2021-08-08,6141.0,157.0,161747.0,45510324.0
2021-08-09,10180.0,502.0,391158.0,45510324.0
2021-08-10,12412.0,204.0,370629.0,45510324.0
2021-08-11,11397.0,223.0,412840.0,45510324.0
2021-08-12,13369.0,181.0,392608.0,45510324.0
2021-08-13,8472.0,246.0,416917.0,45510324.0
2021-08-14,6183.0,121.0,256658.0,45510324.0
2021-08-15,3727.0,105.0,162703.0,45510324.0
2021-08-16,3636.0,64.0,191087.0,45510324.0
2021-08-17,8172.0,300.0,439871.0,45510324.0
2021-08-18,9764.0,247.0,435389.0,45510324.0
2021-08-19,10596.0,189.0,426178.0,45510324.0
2021-08-20,8160.0,229.0,436731.0,45510324.0
2021-08-21,5889.0,147.0,257319.0,45510324.0
2021-08-22,2979.0,135.0,170085.0,45510324.0
2021-08-23,6135.0,257.0,408760.0,45510324.0
2021-08-24,8119.0,197.0,449125.0,45510324.0
2021-08-25,6994.0,160.0,426697.0,45510324.0
2021-08-26,6847.0,151.0,442873.0,45510324.0
2021-08-27,5807.0,153.0,467900.0,45510324.0
2021-08-28,3725.0,54.0,243765.0,45510324.0
2021-08-29,2073.0,59.0,168912.0,45510324.0
2021-08-30,5358.0,224.0,418138.0,45510324.0
2021-08-31,6731.0,205.0,460955.0,45510324.0
2021-09-01,5328.0,193.0,456160.0,45510324.0
2021-09-02,4653.0,190.0,448415.0,45510324.0
2021-09-03,4318.0,161.0,434981.0,45510324.0
2021-09-04,2486.0,88.0,296235.0,45510324.0
2021-09-05,1397.0,67.0,196920.0,45510324.0
2021-09-06,3893.0,162.0,441951.0,45510324.0
2021-09-07,4106.0,178.0,464046.0,45510324.0
2021-09-08,3531.0,111.0,374090.0,45510324.0
2021-09-09,3661.0,137.0,398092.0,45510324.0
2021-09-10,2816.0,183.0,342938.0,45510324.0
2021-09-11,1795.0,74.0,198867.0,45510324.0
